id_pedido,id_cliente,id_producto,fecha_pedido,cantidad,monto,estatus,region
O00001,C0088,P011,2026-08-26,2,116.36,completado,Centro
O00002,C0029,P011,2025-12-09,1,56.71,completado,Norte
O00003,C0044,P003,2025-10-30,3,117.65,pendiente,Norte
O00004,C0065,P006,2026-02-07,1,45.38,completado,Norte
O00005,C0094,P001,2026-02-04,1,312.18,completado,Sur
O00006,C0089,P007,2026-07-14,1,65.7,completado,Occidente
O00007,C0052,P001,2025-11-19,1,307.19,completado,Norte
O00008,C0061,P008,2026-03-16,2,132.48,completado,Centro
O00009,C0068,P006,2026-04-22,3,130.17,completado,Sur
O00010,C0073,P010,2026-01-16,3,402.1,completado,Centro
O00011,C0063,P003,2026-03-31,2,80.87,completado,Norte
O00012,C0077,P008,2026-04-13,2,124.81,pendiente,Centro
O00013,C0102,P001,2026-05-31,2,625.83,completado,Occidente
O00014,C0107,P010,2025-09-03,3,400.62,completado,Centro
O00015,C0006,P011,2025-10-08,2,114.97,completado,Occidente
O00016,C0080,P003,2025-12-17,2,78.32,completado,Occidente
O00017,C0072,P006,2025-09-08,1,43.24,completado,Occidente
O00018,C0091,P010,2025-10-22,1,135.92,completado,Centro
O00019,C0028,P009,2025-10-04,1,66.22,completado,Centro
O00020,C0120,P007,2026-01-26,1,65.33,completado,Norte
O00021,C0047,P001,2025-10-23,1,314.8,completado,Sur
O00022,C0114,P009,2026-05-22,3,211.54,completado,Norte
O00023,C0051,P007,2026-01-30,2,120.16,cancelado,Centro
O00024,C0113,P009,2026-02-21,3,201.66,cancelado,Centro
O00025,C0072,P008,2026-07-30,2,127.46,completado,Occidente
O00026,C0106,P003,2025-10-25,2,83.77,completado,Sur
O00027,C0065,P011,2026-07-05,1,54.07,completado,Occidente
O00028,C0087,P008,2026-07-12,1,64.76,completado,Norte
O00029,C0093,P009,2026-05-05,1,66.61,completado,Centro
O00030,C0094,P004,2026-03-27,2,228.06,pendiente,Norte
O00031,C0021,P010,2026-02-17,3,394.82,completado,Occidente
O00032,C0028,P010,2025-10-27,1,129.54,pendiente,Occidente
O00033,C0045,P006,2025-12-12,2,88.82,completado,Sur
O00034,C0049,P010,2026-04-22,3,384.32,completado,Occidente
O00035,C0114,P006,2026-07-26,2,90.2,completado,Sur
O00036,C0053,P005,2025-12-27,1,425.52,pendiente,Norte
O00037,C0025,P010,2025-10-07,3,411.72,completado,Occidente
O00038,C0114,P004,2026-06-29,1,114.22,completado,Centro
O00039,C0075,P007,2026-04-23,1,57.67,cancelado,Occidente
O00040,C0007,P009,2025-11-09,3,203.51,completado,Sur
O00041,C0047,P004,2026-04-09,1,109.08,completado,Sur
O00042,C0119,P008,2026-05-27,1,58.81,completado,Norte
O00043,C0120,P007,2026-04-08,1,63.91,pendiente,Norte
O00044,C0109,P009,2026-07-10,2,130.88,completado,Sur
O00045,C0029,P005,2026-08-19,3,1125.92,pendiente,Sur
O00046,C0044,P007,2025-12-11,1,57.26,completado,Sur
O00047,C0013,P010,2025-10-10,2,253.13,completado,Centro
O00048,C0024,P005,2026-02-23,3,1236.72,completado,Occidente
O00049,C0039,P012,2026-08-08,3,175.55,completado,Centro
O00050,C0062,P011,2026-01-05,2,116.03,completado,Sur
O00051,C0108,P009,2025-10-21,2,126.72,pendiente,Norte
O00052,C0080,P002,2026-02-16,2,1213.02,completado,Occidente
O00053,C0020,P010,2026-08-21,1,139.61,completado,Occidente
O00054,C0052,P001,2026-03-27,1,287.67,cancelado,Sur
O00055,C0070,P001,2026-02-09,2,608.69,cancelado,Norte
O00056,C0039,P004,2026-05-04,2,217.14,pendiente,Occidente
O00057,C0107,P001,2026-04-22,3,917.55,completado,Occidente
O00058,C0004,P011,2025-11-11,2,111.4,completado,Norte
O00059,C0107,P005,2026-02-07,3,1152.95,pendiente,Centro
O00060,C0050,P004,2026-07-27,2,214.82,completado,Centro
O00061,C0077,P003,2025-09-06,1,45.18,pendiente,Sur
O00062,C0091,P004,2025-09-05,3,330.33,completado,Occidente
O00063,C0058,P005,2025-12-06,3,1148.79,completado,Norte
O00064,C0072,P004,2026-06-22,3,329.23,completado,Occidente
O00065,C0056,P010,2026-03-16,3,432.14,pendiente,Norte
O00066,C0006,P005,2026-01-19,3,1193.76,completado,Occidente
O00067,C0102,P012,2026-01-19,1,60.11,completado,Occidente
O00068,C0006,P007,2025-09-20,1,63.63,completado,Occidente
O00069,C0058,P002,2025-12-29,2,1329.43,completado,Norte
O00070,C0037,P001,2026-05-04,1,302.62,completado,Centro
O00071,C0032,P008,2026-04-16,2,119.54,completado,Occidente
O00072,C0111,P003,2026-04-23,1,41.08,completado,Norte
O00073,C0111,P005,2025-11-08,1,381.15,completado,Centro
O00074,C0036,P007,2026-05-22,3,181.45,pendiente,Occidente
O00075,C0013,P006,2025-09-16,3,139.53,completado,Sur
O00076,C0001,P007,2025-09-26,1,60.01,completado,Occidente
O00077,C0030,P003,2026-08-25,2,78.68,pendiente,Centro
O00078,C0086,P012,2025-09-25,3,197.65,completado,Sur
