posicion,empresa,ingresos_miles_millones_usd,utilidad_miles_millones_usd,empleados,industria,industria_principal,pais,estatal
1,Amazon,716.0,79.9,1576000,Retail; Information technology,Retail,United States,False
2,Walmart,713.0,21.8,2100000,Retail,Retail,United States,False
3,State Grid Corporation of China,545.0,9.2,1361423,Electricity,Electricity,China,False
4,Saudi Aramco,480.0,106.0,73311,Oil and gas,Oil and gas,Saudi Arabia,False
5,China National Petroleum Corporation,476.0,25.2,1026301,Oil and gas,Oil and gas,China,False
6,China Petrochemical Corporation,429.0,9.3,513434,Oil and gas,Oil and gas,China,False
7,Apple,416.0,112.0,166000,Information technology,Information technology,United States,False
8,Alphabet,402.0,132.0,190820,Information technology,Information technology,United States,False
9,UnitedHealth Group,400.0,14.4,400000,Healthcare,Healthcare,United States,False
10,Berkshire Hathaway,371.0,88.9,392400,Financials,Financials,United States,False
11,CVS Health,357.0,8.3,259500,Healthcare,Healthcare,United States,False
12,Volkswagen Group,348.0,17.9,684025,Automotive,Automotive,Germany,False
13,ExxonMobil,344.0,36.0,61500,Oil and gas,Oil and gas,United States,False
14,Vitol,331.0,13.0,1560,Commodities,Commodities,Switzerland,False
15,Shell,323.0,19.3,103000,Oil and gas,Oil and gas,United Kingdom,False
16,China State Construction Engineering,320.0,4.2,382894,Construction,Construction,China,False
17,Toyota,312.0,34.2,380793,Automotive,Automotive,Japan,False
18,McKesson,308.0,3.0,48000,Healthcare,Healthcare,United States,False
19,Microsoft,281.0,101.0,228000,Information technology,Information technology,United States,False
20,Cencora,262.0,1.7,44000,Healthcare,Healthcare,United States,False
21,Trafigura,244.0,7.3,12479,Commodities,Commodities,Singapore,False
22,Costco,242.0,6.2,316000,Retail,Retail,United States,False
23,JPMorgan Chase,239.0,49.5,309926,Financials,Financials,United States,False
24,Industrial and Commercial Bank of China,222.0,51.4,419252,Financials,Financials,China,False
25,Schwarz Gruppe,220.0,,604000,Retail,Retail,Germany,False
26,TotalEnergies,218.0,21.3,102579,Oil and gas,Oil and gas,France,False
27,Glencore,217.0,4.2,83426,Commodities,Commodities,Switzerland,False
28,Nvidia,215.0,120.0,36000,Semiconductors,Semiconductors,United States,False
29,BP,213.0,15.2,79400,Oil and gas,Oil and gas,United Kingdom,False
30,Cardinal Health,205.0,0.26,47520,Healthcare,Healthcare,United States,False
31,Stellantis,204.0,20.1,258275,Automotive,Automotive,Netherlands,False
32,Chevron,200.0,21.3,45600,Oil and gas,Oil and gas,United States,False
33,China Construction Bank,199.0,46.9,376871,Financials,Financials,China,False
34,Samsung Electronics,198.0,11.0,267860,Electronics,Electronics,South Korea,False
35,Foxconn,197.0,4.5,621393,Electronics,Electronics,Taiwan,False
36,Cigna,195.0,5.1,71413,Healthcare,Healthcare,United States,False
37,Agricultural Bank of China,192.0,38.0,451003,Financials,Financials,China,False
38,China Railway Engineering Corporation,178.0,2.1,314149,Construction,Construction,China,False
39,Cargill,177.0,17.6,160000,Conglomerate,Conglomerate,United States,False
40,Ford Motor Company,176.0,4.3,177000,Automotive,Automotive,United States,False
41,Bank of China,172.0,32.7,306931,Financials,Financials,China,False
42,Bank of America,171.0,26.5,212985,Financials,Financials,United States,False
43,General Motors,171.0,10.1,163000,Automotive,Automotive,United States,False
44,Elevance Health,171.0,5.9,104900,Healthcare,Healthcare,United States,False
45,BMW Group,168.0,12.2,154950,Automotive,Automotive,Germany,False
46,Mercedes-Benz Group,165.0,15.4,166056,Automotive,Automotive,Germany,False
47,Meta Platforms,164.0,62.3,78450,Social media,Social media,United States,False
48,China Railway Construction Corporation,160.0,1.7,336433,Construction,Construction,China,False
49,Baowu,157.0,2.4,258697,Steel,Steel,China,False
50,Citigroup,156.0,9.2,237925,Financials,Financials,United States,False
