id_cliente,edad,meses_antiguedad,gasto_mensual,num_productos,tickets_soporte,dias_ultimo_acceso,tipo_contrato,metodo_pago,region,abandono
K0001,26,55,135.03,2,0,5,anual,domiciliacion,Sur,0
K0002,62,3,40.41,2,3,27,mensual,domiciliacion,Occidente,1
K0003,53,53,53.86,3,3,0,anual,tarjeta,Occidente,0
K0004,24,58,133.49,5,0,9,anual,paypal,Occidente,0
K0005,42,11,22.44,2,8,59,mensual,paypal,Occidente,1
K0006,47,26,158.2,5,2,2,anual,transferencia,Norte,0
K0007,46,52,209.46,2,0,21,anual,tarjeta,Sur,0
K0008,58,26,56.31,2,2,19,anual,paypal,Occidente,0
K0009,58,12,68.09,2,5,49,mensual,paypal,Centro,1
K0010,35,17,191.26,3,0,14,anual,paypal,Occidente,0
K0011,57,3,91.33,2,8,92,mensual,domiciliacion,Norte,1
K0012,65,18,163.73,3,0,14,anual,paypal,Occidente,0
K0013,36,12,70.36,2,2,18,mensual,tarjeta,Occidente,1
K0014,67,30,204.62,5,0,0,anual,paypal,Centro,0
K0015,35,48,169.23,2,0,7,anual,domiciliacion,Norte,0
K0016,28,48,84.55,3,0,1,anual,domiciliacion,Norte,0
K0017,33,56,167.87,3,3,18,anual,transferencia,Sur,0
K0018,41,13,65.46,1,8,45,mensual,paypal,Sur,1
K0019,60,50,189.51,5,0,21,anual,domiciliacion,Centro,0
K0020,31,5,72.5,1,8,60,mensual,transferencia,Sur,1
K0021,63,14,209.26,5,3,4,anual,transferencia,Norte,0
K0022,63,7,74.79,1,10,85,mensual,paypal,Occidente,1
K0023,59,51,121.4,5,3,2,anual,domiciliacion,Centro,0
K0024,27,3,77.44,1,3,66,mensual,domiciliacion,Sur,1
K0025,50,56,153.83,4,1,19,anual,transferencia,Occidente,0
K0026,50,44,138.12,5,2,11,anual,transferencia,Sur,0
K0027,64,10,81.94,1,2,43,mensual,paypal,Occidente,1
K0028,46,11,70.28,1,7,73,mensual,transferencia,Sur,1
K0029,50,50,94.54,3,0,7,anual,transferencia,Centro,0
K0030,41,35,184.51,4,1,15,anual,tarjeta,Norte,0
K0031,43,5,30.2,1,8,74,mensual,tarjeta,Centro,1
K0032,46,7,69.66,2,10,40,mensual,paypal,Centro,1
K0033,37,9,60.31,1,2,87,mensual,paypal,Occidente,1
K0034,46,55,77.74,3,1,8,anual,paypal,Centro,0
K0035,51,23,138.62,2,1,2,anual,paypal,Sur,0
K0036,67,12,25.71,1,11,78,mensual,domiciliacion,Occidente,1
K0037,62,54,48.91,5,1,9,anual,tarjeta,Sur,0
K0038,61,52,129.76,4,1,12,anual,paypal,Centro,0
K0039,44,40,50.06,3,2,15,anual,domiciliacion,Occidente,0
K0040,53,8,81.62,1,6,73,mensual,tarjeta,Norte,1
K0041,31,3,67.06,2,4,62,mensual,tarjeta,Centro,1
K0042,28,1,54.79,1,7,64,mensual,transferencia,Norte,1
K0043,22,10,39.64,1,5,34,mensual,tarjeta,Centro,1
K0044,59,10,55.92,2,5,21,mensual,transferencia,Centro,1
K0045,44,3,82.89,2,2,27,mensual,paypal,Occidente,1
K0046,49,5,83.25,2,7,20,mensual,domiciliacion,Occidente,1
K0047,35,15,183.73,3,2,21,anual,tarjeta,Norte,0
K0048,61,8,28.65,1,9,79,mensual,paypal,Centro,1
K0049,34,54,149.85,2,2,12,anual,transferencia,Occidente,0
K0050,27,10,26.07,2,7,58,mensual,domiciliacion,Centro,1
K0051,51,23,143.11,4,3,19,anual,paypal,Occidente,0
K0052,63,4,53.86,1,9,18,mensual,tarjeta,Sur,1
K0053,61,25,137.65,3,0,11,anual,paypal,Sur,0
K0054,61,42,52.58,5,0,21,anual,domiciliacion,Norte,0
K0055,62,5,37.2,1,4,35,mensual,domiciliacion,Norte,1
K0056,32,38,153.18,3,3,18,anual,tarjeta,Sur,0
K0057,51,8,29.38,1,10,86,mensual,tarjeta,Centro,1
K0058,33,18,155.13,2,2,8,anual,paypal,Sur,0
K0059,65,5,53.09,2,6,82,mensual,tarjeta,Sur,1
K0060,42,3,60.05,2,2,23,mensual,transferencia,Sur,1
K0061,36,5,19.11,1,3,93,mensual,transferencia,Norte,1
K0062,36,59,84.71,4,0,17,anual,tarjeta,Centro,0
K0063,38,9,79.54,1,5,47,mensual,tarjeta,Sur,1
K0064,47,34,204.88,5,2,4,anual,domiciliacion,Occidente,0
K0065,38,5,30.34,1,8,87,mensual,domiciliacion,Norte,1
K0066,47,4,43.91,2,8,69,mensual,domiciliacion,Centro,1
K0067,48,1,47.11,2,11,91,mensual,transferencia,Sur,1
K0068,26,34,203.96,4,1,19,anual,paypal,Sur,0
K0069,25,29,140.81,5,3,1,anual,paypal,Centro,0
K0070,61,7,27.15,1,7,61,mensual,domiciliacion,Norte,1
K0071,45,13,127.28,4,2,21,anual,paypal,Centro,0
K0072,59,2,76.53,2,11,72,mensual,paypal,Norte,1
