id_cliente,edad,meses_antiguedad,gasto_mensual,num_productos,tickets_soporte,dias_ultimo_acceso,tipo_contrato,metodo_pago,region,gasto_por_producto,tasa_tickets_soporte,puntaje_interaccion,bandera_alto_riesgo,gasto_anual_estimado,grupo_antiguedad,contrato_mensual,abandono
K0001,26,55,135.03,2,0,5,anual,domiciliacion,Sur,67.52,0.0,33.33,0,1620.36,25m+,0,0
K0002,62,3,40.41,2,3,27,mensual,domiciliacion,Occidente,20.2,1.0,7.14,0,484.92,0-6m,1,1
K0003,53,53,53.86,3,3,0,anual,tarjeta,Occidente,17.95,0.057,300.0,0,646.32,25m+,0,0
K0004,24,58,133.49,5,0,9,anual,paypal,Occidente,26.7,0.0,50.0,0,1601.88,25m+,0,0
K0005,42,11,22.44,2,8,59,mensual,paypal,Occidente,11.22,0.727,3.33,1,269.28,7-12m,1,1
K0006,47,26,158.2,5,2,2,anual,transferencia,Norte,31.64,0.077,166.67,0,1898.4,25m+,0,0
K0007,46,52,209.46,2,0,21,anual,tarjeta,Sur,104.73,0.0,9.09,0,2513.52,25m+,0,0
K0008,58,26,56.31,2,2,19,anual,paypal,Occidente,28.16,0.077,10.0,0,675.72,25m+,0,0
K0009,58,12,68.09,2,5,49,mensual,paypal,Centro,34.04,0.417,4.0,1,817.08,7-12m,1,1
K0010,35,17,191.26,3,0,14,anual,paypal,Occidente,63.75,0.0,20.0,0,2295.12,13-24m,0,0
K0011,57,3,91.33,2,8,92,mensual,domiciliacion,Norte,45.66,2.667,2.15,1,1095.96,0-6m,1,1
K0012,65,18,163.73,3,0,14,anual,paypal,Occidente,54.58,0.0,20.0,0,1964.76,13-24m,0,0
K0013,36,12,70.36,2,2,18,mensual,tarjeta,Occidente,35.18,0.167,10.53,0,844.32,7-12m,1,1
K0014,67,30,204.62,5,0,0,anual,paypal,Centro,40.92,0.0,500.0,0,2455.44,25m+,0,0
K0015,35,48,169.23,2,0,7,anual,domiciliacion,Norte,84.62,0.0,25.0,0,2030.76,25m+,0,0
K0016,28,48,84.55,3,0,1,anual,domiciliacion,Norte,28.18,0.0,150.0,0,1014.6,25m+,0,0
K0017,33,56,167.87,3,3,18,anual,transferencia,Sur,55.96,0.054,15.79,0,2014.44,25m+,0,0
K0018,41,13,65.46,1,8,45,mensual,paypal,Sur,65.46,0.615,2.17,1,785.52,13-24m,1,1
K0019,60,50,189.51,5,0,21,anual,domiciliacion,Centro,37.9,0.0,22.73,0,2274.12,25m+,0,0
K0020,31,5,72.5,1,8,60,mensual,transferencia,Sur,72.5,1.6,1.64,1,870.0,0-6m,1,1
K0021,63,14,209.26,5,3,4,anual,transferencia,Norte,41.85,0.214,100.0,0,2511.12,13-24m,0,0
K0022,63,7,74.79,1,10,85,mensual,paypal,Occidente,74.79,1.429,1.16,1,897.48,7-12m,1,1
K0023,59,51,121.4,5,3,2,anual,domiciliacion,Centro,24.28,0.059,166.67,0,1456.8,25m+,0,0
K0024,27,3,77.44,1,3,66,mensual,domiciliacion,Sur,77.44,1.0,1.49,0,929.28,0-6m,1,1
K0025,50,56,153.83,4,1,19,anual,transferencia,Occidente,38.46,0.018,20.0,0,1845.96,25m+,0,0
K0026,50,44,138.12,5,2,11,anual,transferencia,Sur,27.62,0.045,41.67,0,1657.44,25m+,0,0
K0027,64,10,81.94,1,2,43,mensual,paypal,Occidente,81.94,0.2,2.27,0,983.28,7-12m,1,1
K0028,46,11,70.28,1,7,73,mensual,transferencia,Sur,70.28,0.636,1.35,1,843.36,7-12m,1,1
K0029,50,50,94.54,3,0,7,anual,transferencia,Centro,31.51,0.0,37.5,0,1134.48,25m+,0,0
K0030,41,35,184.51,4,1,15,anual,tarjeta,Norte,46.13,0.029,25.0,0,2214.12,25m+,0,0
K0031,43,5,30.2,1,8,74,mensual,tarjeta,Centro,30.2,1.6,1.33,1,362.4,0-6m,1,1
K0032,46,7,69.66,2,10,40,mensual,paypal,Centro,34.83,1.429,4.88,1,835.92,7-12m,1,1
K0033,37,9,60.31,1,2,87,mensual,paypal,Occidente,60.31,0.222,1.14,0,723.72,7-12m,1,1
K0034,46,55,77.74,3,1,8,anual,paypal,Centro,25.91,0.018,33.33,0,932.88,25m+,0,0
K0035,51,23,138.62,2,1,2,anual,paypal,Sur,69.31,0.043,66.67,0,1663.44,13-24m,0,0
K0036,67,12,25.71,1,11,78,mensual,domiciliacion,Occidente,25.71,0.917,1.27,1,308.52,7-12m,1,1
K0037,62,54,48.91,5,1,9,anual,tarjeta,Sur,9.78,0.019,50.0,0,586.92,25m+,0,0
K0038,61,52,129.76,4,1,12,anual,paypal,Centro,32.44,0.019,30.77,0,1557.12,25m+,0,0
K0039,44,40,50.06,3,2,15,anual,domiciliacion,Occidente,16.69,0.05,18.75,0,600.72,25m+,0,0
K0040,53,8,81.62,1,6,73,mensual,tarjeta,Norte,81.62,0.75,1.35,1,979.44,7-12m,1,1
K0041,31,3,67.06,2,4,62,mensual,tarjeta,Centro,33.53,1.333,3.17,0,804.72,0-6m,1,1
K0042,28,1,54.79,1,7,64,mensual,transferencia,Norte,54.79,7.0,1.54,1,657.48,0-6m,1,1
K0043,22,10,39.64,1,5,34,mensual,tarjeta,Centro,39.64,0.5,2.86,1,475.68,7-12m,1,1
K0044,59,10,55.92,2,5,21,mensual,transferencia,Centro,27.96,0.5,9.09,0,671.04,7-12m,1,1
K0045,44,3,82.89,2,2,27,mensual,paypal,Occidente,41.44,0.667,7.14,0,994.68,0-6m,1,1
K0046,49,5,83.25,2,7,20,mensual,domiciliacion,Occidente,41.62,1.4,9.52,0,999.0,0-6m,1,1
K0047,35,15,183.73,3,2,21,anual,tarjeta,Norte,61.24,0.133,13.64,0,2204.76,13-24m,0,0
K0048,61,8,28.65,1,9,79,mensual,paypal,Centro,28.65,1.125,1.25,1,343.8,7-12m,1,1
K0049,34,54,149.85,2,2,12,anual,transferencia,Occidente,74.92,0.037,15.38,0,1798.2,25m+,0,0
K0050,27,10,26.07,2,7,58,mensual,domiciliacion,Centro,13.04,0.7,3.39,1,312.84,7-12m,1,1
K0051,51,23,143.11,4,3,19,anual,paypal,Occidente,35.78,0.13,20.0,0,1717.32,13-24m,0,0
K0052,63,4,53.86,1,9,18,mensual,tarjeta,Sur,53.86,2.25,5.26,0,646.32,0-6m,1,1
