mes,nombre_mes,region,ingreso,unidades_vendidas,valor_promedio_pedido,clientes_nuevos
1,Enero,Norte,121257.54,799,151.67,31
1,Enero,Centro,173477.26,1373,126.26,91
1,Enero,Sur,82364.62,692,118.88,65
1,Enero,Occidente,104586.5,634,164.89,89
2,Febrero,Norte,125286.58,929,134.75,140
2,Febrero,Centro,167099.4,1084,154.11,85
2,Febrero,Sur,82123.42,588,139.52,122
2,Febrero,Occidente,100430.33,705,142.38,70
3,Marzo,Norte,128288.79,711,180.41,63
3,Marzo,Centro,178456.13,1068,167.04,121
3,Marzo,Sur,95639.01,720,132.82,96
3,Marzo,Occidente,107042.18,902,118.54,55
4,Abril,Norte,144269.29,763,189.04,74
4,Abril,Centro,200779.0,1667,120.39,40
4,Abril,Sur,95293.5,554,171.71,161
4,Abril,Occidente,110460.93,691,159.64,88
5,Mayo,Norte,156318.92,1163,134.32,98
5,Mayo,Centro,193202.48,1233,156.64,65
5,Mayo,Sur,100215.11,574,174.42,146
5,Mayo,Occidente,131479.14,749,175.43,155
6,Junio,Norte,136975.67,874,156.69,150
6,Junio,Centro,193281.65,1045,184.9,81
6,Junio,Sur,98444.68,523,188.09,112
6,Junio,Occidente,121634.19,802,151.53,99
7,Julio,Norte,130167.08,980,132.75,180
7,Julio,Centro,180427.39,976,184.86,112
7,Julio,Sur,88216.13,679,129.85,146
7,Julio,Occidente,110746.91,606,182.52,148
8,Agosto,Norte,149416.67,1243,120.15,43
8,Agosto,Centro,205681.72,1197,171.8,144
8,Agosto,Sur,102419.2,606,168.88,174
8,Agosto,Occidente,120352.38,719,167.3,127
9,Septiembre,Norte,163171.36,1025,159.06,69
9,Septiembre,Centro,211957.76,1234,171.71,147
9,Septiembre,Sur,110903.74,873,127.03,37
9,Septiembre,Occidente,131401.52,869,151.1,71
10,Octubre,Norte,160633.54,1353,118.68,122
10,Octubre,Centro,224336.18,1411,158.89,108
10,Octubre,Sur,109888.32,650,169.02,71
10,Octubre,Occidente,141026.73,871,161.86,150
11,Noviembre,Norte,182714.43,1138,160.46,198
11,Noviembre,Centro,245391.23,1587,154.55,64
11,Noviembre,Sur,129296.57,779,165.93,110
11,Noviembre,Occidente,156880.82,1191,131.63,62
12,Diciembre,Norte,212645.76,1200,177.06,134
12,Diciembre,Centro,290772.23,2071,140.39,182
12,Diciembre,Sur,138152.52,768,179.81,58
12,Diciembre,Occidente,175935.21,1233,142.62,213
