rango,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,roi_times,roi_currency,roi_percentage,market_cap_miles_millones
1,bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,77756.25224370872,1561197121167,1,1561197121167,36043012967,81282.0,76962.0,-2982.6048070838297,-3.3168,-59726265341.81006,-3.68471,20076509.0,20076528.0,21000000.0,126080.0,-38.32779,2025-10-06 10:57:42+00:00,67.81,114569.51621,2013-07-05 16:00:00+00:00,2026-08-29 00:48:20+00:00,0.1,-3.3168,21.8,-0.8,,,,1561.2
2,ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2442.3503843641406,294782997347,2,294782997347,14929808398,2532.17,2418.11,-74.66930680386531,-2.88995,-8974078279.811096,-2.95436,120681205.94596182,120681205.9459618,,4946.05,-50.62014,2025-08-24 11:21:03+00:00,0.432979,563981.08619,2015-10-19 16:00:00+00:00,2026-08-29 00:48:20+00:00,0.0,-2.88995,28.2,-3.1,40.999482811709164,btc,4099.948281170916,294.78
3,tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999956456881783,183407697560,3,188823671717,64046993737,1.0,0.999804,-8.3216651172946e-05,-0.02015,37405644.0,0.0204,183411465211.78317,188878410871.0362,,1.32,-24.42295,2018-07-23 16:00:00+00:00,0.572521,74.65848,2015-03-01 16:00:00+00:00,2026-08-29 00:48:20+00:00,0.0,-0.02015,0.1,0.0,,,,183.41
4,binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,691.1997229101892,92042223122,4,92042224000,881560014,718.37,685.51,-23.699696399184177,-3.10157,-3155674240.289795,-3.31486,133162569.9,133162569.9,200000000.0,1369.99,-49.54716,2025-10-13 00:41:24+00:00,0.0398177,1735810.84298,2017-10-18 16:00:00+00:00,2026-08-29 00:48:20+00:00,0.2,-3.10157,21.2,0.1,,,,92.04
5,ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.381798513018878,86717951615,5,138188178307,2967064074,1.47,1.36,-0.07189757324455992,-4.54549,-4493489523.281647,-4.92645,62744504852.0,99985627691.0,100000000000.0,3.65,-62.1049,2025-07-17 19:40:53+00:00,0.00268621,51340.51396,2014-05-21 16:00:00+00:00,2026-08-29 00:48:20+00:00,0.0,-4.54549,28.9,-4.3,,,,86.72
6,usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.9999416077304566,74001525564,6,74001726026,18647307259,1.0,0.999858,-7.45073240076e-05,-0.01016,189185800.0,0.25631,74003941587.7033,74005240121.09909,,1.043,-4.17101,2018-11-14 16:00:00+00:00,0.877647,13.93443,2023-03-11 00:02:13+00:00,2026-08-29 00:48:20+00:00,0.0,-0.01016,0.0,0.0,,,,74.0
7,solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,103.98305292834351,60748183254,7,65835222750,5794994453,109.58,102.48,-4.474910486125353,-4.99603,-2598015661.5941315,-4.1013,584161994.6722716,633079570.026072,,293.31,-64.54862,2025-01-19 03:15:27+00:00,0.500801,20663.35884,2020-05-11 11:35:23+00:00,2026-08-29 00:48:20+00:00,0.0,-4.99603,41.5,10.4,,,,60.75
8,tron,trx,Tron,https://coin-images.coingecko.com/coins/images/1094/large/photo_2026-04-13_09-59-16.png?1776048311,0.34103830402098245,32370637151,8,32370803124,535115451,0.34214,0.338171,0.00174893,0.94507,164522691.0,0.51084,94923701758.08488,94924411666.83578,,0.431288,-20.92569,2024-12-03 16:10:40+00:00,0.00180434,18800.98291,2017-11-11 16:00:00+00:00,2026-08-29 00:48:20+00:00,-0.1,0.94507,4.8,-0.5,178.50277338577948,usd,17850.277338577947,32.37
9,figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.0398601978443647,22634352889,9,22634352889,172629345,1.044,1.012,0.02132122,2.09955,500824287.0,2.26274,21767232811.158,21767232811.158,,1.061,-1.94964,2026-08-03 14:19:20+00:00,0.155357,569.33764,2025-10-31 06:27:24+00:00,2026-08-29 00:48:20+00:00,-0.3,2.09955,3.6,0.7,,,,22.63
10,hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,80.38022923159176,17889480561,10,76827496985,1428032061,85.0,78.6,-3.659536023087341,-4.43141,-804805031.5954933,-4.30509,222445714.07414138,955307079.4341414,1000000000.0,86.71,-7.30484,2026-08-27 19:18:00+00:00,3.81,2010.41557,2024-11-29 01:30:30+00:00,2026-08-29 00:48:20+00:00,-0.3,-4.43141,50.4,6.3,,,,17.89
11,zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/Brandmark-Yellow_%281%29.png?1785810558,801.8364638249444,13558557252,11,13559108768,1161083364,823.72,779.6,-7.401219907908057,-1.2099,-117449731.59212875,-0.8588,16901600.1655448,16902432.9780448,21000000.0,3191.93,-74.87926,2016-10-28 16:00:00+00:00,16.08,4886.50386,2024-07-04 20:22:29+00:00,2026-08-29 00:48:20+00:00,-0.2,-1.2099,71.6,9.2,,,,13.56
12,dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.08513730894538485,13256578459,12,13256671272,691174616,0.0902,0.083877,-0.004123854121580964,-4.47896,-639028705.8445606,-4.59878,155685146383.7052,155687186383.7052,,0.731578,-88.36251,2021-05-07 21:08:23+00:00,8.69e-05,97867.35103,2015-05-05 16:00:00+00:00,2026-08-29 00:48:20+00:00,0.1,-4.47896,21.8,-9.4,,,,13.26
13,rain,rain,Rain,https://coin-images.coingecko.com/coins/images/69134/large/Rain_logo_1_.png?1762952191,0.017674830625600355,12534296176,13,20191296638,42689992,0.01815539,0.01719117,0.00037627,2.12982,266501851.0,2.17237,709181168420.375,1142408567723.743,1150000000000.0,0.01946402,-9.19231,2026-08-25 19:53:00+00:00,0.00222126,695.71227,2025-09-14 00:56:57+00:00,2026-08-29 00:48:20+00:00,0.3,2.12982,28.5,17.3,,,,12.53
14,usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.99991185781394,9796842080,14,9797849495,441675305,1.0,0.999469,0.00012806,-0.00329,267313316.0,2.80511,9797471999.142855,9810828903.981075,,1.057,-5.42982,2024-10-28 21:40:51+00:00,0.948265,5.44641,2024-10-03 05:19:28+00:00,2026-08-29 00:48:20+00:00,0.0,-0.00329,0.0,0.0,,,,9.8
15,monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,469.7444875489874,8830055310,15,8830059538,107766024,478.03,458.11,6.15,2.16231,115959894.0,1.33072,18797386.84854656,18797418.64854656,,797.73,-41.1152,2026-01-14 11:34:07+00:00,0.216177,217196.58666,2015-01-13 16:00:00+00:00,2026-08-29 00:48:20+00:00,0.8,2.16231,33.9,15.2,,,,8.83
16,leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.425090960968875,8670023345,16,9286009994,209759,9.5,9.35,-0.010659034242927135,0.66576,-9833548.210960388,-0.11329,919883728.9,985239504.0,,10.61,-11.19467,2026-05-04 09:35:00+00:00,0.799859,1078.34379,2019-12-24 07:14:35+00:00,2026-08-29 00:48:20+00:00,0.0,0.66576,-3.5,1.1,,,,8.67
17,chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,11.448461779471458,8565398616,17,11449537434,394138677,12.05,11.27,-0.4711506915571597,-4.37635,-351663121.3820057,-3.94371,748099970.424884,1000000000.0,1000000000.0,52.7,-78.27468,2021-05-09 16:13:57+00:00,0.148183,7625.91479,2017-11-28 16:00:00+00:00,2026-08-29 00:48:20+00:00,-0.1,-4.37635,37.9,-6.1,,,,8.57
18,whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,71.69801783509335,8459294685,18,21056151681,123740179,74.85,70.89,-2.6560124086102945,-3.25986,-311210718.6561489,-3.54838,117956019.0,293606018.0,400000000.0,74.97,-4.36224,2026-08-25 02:42:30+00:00,3.06,2241.77506,2023-02-13 11:01:21+00:00,2026-08-29 00:48:20+00:00,0.0,-3.25986,28.4,-1.4,,,,8.46
19,cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.20275638402840807,7605540710,19,9126990303,379388441,0.217739,0.199706,-0.012575308005400798,-5.36819,-469095648.5503464,-5.8095,37498597081.30407,45000000000.0,45000000000.0,3.09,-93.43174,2021-09-01 22:00:10+00:00,0.01925275,953.12964,2020-03-12 18:22:55+00:00,2026-08-29 00:48:20+00:00,0.4,-5.36819,25.2,-12.2,,,,7.61
20,stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.17902602630565692,6208902835,20,8956136112,144118255,0.189033,0.176179,-0.008093250314825662,-4.25739,-281119147.64917946,-4.33156,34664081944.91521,50001786839.91247,,0.875563,-79.55304,2018-01-02 16:00:00+00:00,0.00047612,37500.76261,2015-03-04 16:00:00+00:00,2026-08-29 00:48:20+00:00,0.4,-4.25739,4.6,-11.3,,,,6.21
