industria_principal,empresas,ingresos_totales,ingresos_promedio,utilidad_total,empleados_totales
Oil and gas,8,2683.0,335.4,253.6,2005125
Healthcare,7,1898.0,271.1,38.7,975333
Retail,4,1891.0,472.8,107.9,4596000
Financials,8,1722.0,215.2,343.1,2707293
Automotive,7,1544.0,220.6,114.2,1984099
Information technology,3,1099.0,366.3,345.0,584820
Commodities,3,792.0,264.0,24.5,97465
Construction,3,658.0,219.3,8.0,1033476
Electricity,1,545.0,545.0,9.2,1361423
Electronics,2,395.0,197.5,15.5,889253
Semiconductors,1,215.0,215.0,120.0,36000
Conglomerate,1,177.0,177.0,17.6,160000
Social media,1,164.0,164.0,62.3,78450
Steel,1,157.0,157.0,2.4,258697
