pais,empresas,ingresos_totales,ingresos_promedio,utilidad_total,empleados_totales
United States,24,7052.0,293.8,937.3,7426939
China,11,3050.0,277.3,223.1,5747388
Germany,4,901.0,225.2,45.5,1609031
Switzerland,2,548.0,274.0,17.2,84986
United Kingdom,2,536.0,268.0,34.5,182400
Saudi Arabia,1,480.0,480.0,106.0,73311
Japan,1,312.0,312.0,34.2,380793
Singapore,1,244.0,244.0,7.3,12479
France,1,218.0,218.0,21.3,102579
Netherlands,1,204.0,204.0,20.1,258275
South Korea,1,198.0,198.0,11.0,267860
Taiwan,1,197.0,197.0,4.5,621393
