id_cliente,meses_antiguedad,gasto_mensual,num_productos,tickets_soporte,dias_ultimo_acceso,metodo_pago,region,valor_vida_estimado,tickets_por_mes,ratio_inactividad,costo_soporte_por_ingreso,bandera_inactivo_30d,bandera_cliente_nuevo,bandera_soporte_intensivo,grupo_antiguedad,indice_riesgo_conductual,gasto_inesperado,abandono
K0001,55,135.03,2,0,5,domiciliacion,Sur,7426.65,0.0,0.003,0.0,0,0,0,3,0,-10.95,0
K0002,3,40.41,2,3,27,domiciliacion,Occidente,121.23,1.0,0.296,7.424,0,1,0,0,1,-24.26,1
K0003,53,53.86,3,3,0,tarjeta,Occidente,2854.58,0.057,0.0,5.57,0,0,0,3,0,-89.0,0
K0004,58,133.49,5,0,9,paypal,Occidente,7742.42,0.0,0.005,0.0,0,0,0,3,0,-17.18,0
K0005,11,22.44,2,8,59,paypal,Occidente,246.84,0.727,0.176,35.651,1,0,1,1,2,-54.74,1
K0006,26,158.2,5,2,2,transferencia,Norte,4113.2,0.077,0.003,1.264,0,0,0,3,0,57.57,0
K0007,52,209.46,2,0,21,tarjeta,Sur,10891.92,0.0,0.013,0.0,0,0,0,3,0,68.17,0
K0008,26,56.31,2,2,19,paypal,Occidente,1464.06,0.077,0.024,3.552,0,0,0,3,0,-44.32,0
K0009,12,68.09,2,5,49,paypal,Centro,817.08,0.417,0.134,7.343,1,0,0,1,1,-10.65,1
K0010,17,191.26,3,0,14,paypal,Occidente,3251.42,0.0,0.027,0.0,0,0,0,2,0,104.7,0
K0011,3,91.33,2,8,92,domiciliacion,Norte,273.99,2.667,1.007,8.759,1,1,1,0,3,26.66,1
K0012,18,163.73,3,0,14,paypal,Occidente,2947.14,0.0,0.026,0.0,0,0,0,2,0,75.61,0
K0013,12,70.36,2,2,18,tarjeta,Occidente,844.32,0.167,0.049,2.843,0,0,0,1,0,-8.38,1
K0014,30,204.62,5,0,0,paypal,Centro,6138.6,0.0,0.0,0.0,0,0,0,3,0,97.73,0
K0015,48,169.23,2,0,7,domiciliacion,Norte,8123.04,0.0,0.005,0.0,0,0,0,3,0,34.19,0
K0016,48,84.55,3,0,1,domiciliacion,Norte,4058.4,0.0,0.001,0.0,0,0,0,3,0,-50.49,0
K0017,56,167.87,3,3,18,transferencia,Sur,9400.72,0.054,0.011,1.787,0,0,0,3,0,20.32,0
K0018,13,65.46,1,8,45,paypal,Sur,850.98,0.615,0.114,12.221,1,0,1,2,2,-14.85,1
K0019,50,189.51,5,0,21,domiciliacion,Centro,9475.5,0.0,0.014,0.0,0,0,0,3,0,51.35,0
K0020,5,72.5,1,8,60,transferencia,Sur,362.5,1.6,0.394,11.034,1,1,1,0,3,4.7,1
K0021,14,209.26,5,3,4,transferencia,Norte,2929.64,0.214,0.009,1.434,0,0,0,2,0,127.39,0
K0022,7,74.79,1,10,85,paypal,Occidente,523.53,1.429,0.399,13.371,1,0,1,1,2,3.87,1
K0023,51,121.4,5,3,2,domiciliacion,Centro,6191.4,0.059,0.001,2.471,0,0,0,3,0,-18.33,0
K0024,3,77.44,1,3,66,domiciliacion,Sur,232.32,1.0,0.723,3.874,1,1,0,0,2,12.77,1
K0025,56,153.83,4,1,19,transferencia,Occidente,8614.48,0.018,0.011,0.65,0,0,0,3,0,6.28,0
K0026,44,138.12,5,2,11,transferencia,Sur,6077.28,0.045,0.008,1.448,0,0,0,3,0,9.34,0
K0027,10,81.94,1,2,43,paypal,Occidente,819.4,0.2,0.141,2.441,1,0,0,1,1,6.33,1
K0028,11,70.28,1,7,73,transferencia,Sur,773.08,0.636,0.218,9.96,1,0,1,1,2,-6.9,1
K0029,50,94.54,3,0,7,transferencia,Centro,4727.0,0.0,0.005,0.0,0,0,0,3,0,-43.62,0
K0030,35,184.51,4,1,15,tarjeta,Norte,6457.85,0.029,0.014,0.542,0,0,0,3,0,69.8,0
K0031,5,30.2,1,8,74,tarjeta,Centro,151.0,1.6,0.486,26.49,1,1,1,0,3,-37.6,1
