id_cliente,edad,meses_antiguedad,gasto_mensual,num_productos,tickets_soporte,dias_ultimo_acceso,tipo_contrato,metodo_pago,region,gasto_por_producto,valor_vida_estimado,gasto_relativo_region,densidad_adopcion,tickets_por_mes,ratio_inactividad,costo_soporte_por_ingreso,bandera_inactivo_30d,bandera_cliente_nuevo,bandera_soporte_intensivo,bandera_pago_manual,contrato_mensual,grupo_antiguedad,grupo_valor,indice_riesgo_conductual,gasto_inesperado,percentil_inactividad_cohorte,interaccion_edad_friccion,abandono
K0001,26,55,135.03,2,0,5,anual,domiciliacion,Sur,67.51,7426.65,1.769,0.497,0.0,0.003,0.0,0,0,0,0,0,3,2,0,-10.95,0.325,-0.0,0
K0002,62,3,40.41,2,3,27,mensual,domiciliacion,Occidente,20.2,121.23,0.486,1.443,1.0,0.296,7.424,0,1,0,0,1,0,0,1,-24.26,0.312,0.0,1
K0003,53,53,53.86,3,3,0,anual,tarjeta,Occidente,17.95,2854.58,0.648,0.752,0.057,0.0,5.57,0,0,0,0,0,3,1,0,-89.0,0.038,0.0,0
K0004,24,58,133.49,5,0,9,anual,paypal,Occidente,26.7,7742.42,1.607,1.226,0.0,0.005,0.0,0,0,0,1,0,3,2,0,-17.18,0.438,-1.596,0
K0005,42,11,22.44,2,8,59,mensual,paypal,Occidente,11.22,246.84,0.27,0.805,0.727,0.176,35.651,1,0,1,1,1,1,0,2,-54.74,0.568,-0.208,1
K0006,47,26,158.2,5,2,2,anual,transferencia,Norte,31.64,4113.2,1.938,1.517,0.077,0.003,1.264,0,0,0,1,0,3,3,0,57.57,0.188,0.177,0
K0007,46,52,209.46,2,0,21,anual,tarjeta,Sur,104.73,10891.92,2.745,0.504,0.0,0.013,0.0,0,0,0,0,0,3,3,0,68.17,0.962,0.0,0
K0008,58,26,56.31,2,2,19,anual,paypal,Occidente,28.15,1464.06,0.678,0.607,0.077,0.024,3.552,0,0,0,1,0,3,1,0,-44.32,0.838,1.025,0
K0009,58,12,68.09,2,5,49,mensual,paypal,Centro,34.04,817.08,1.0,0.78,0.417,0.134,7.343,1,0,0,1,1,1,1,1,-10.65,0.455,1.025,1
K0010,35,17,191.26,3,0,14,anual,paypal,Occidente,63.75,3251.42,2.302,1.038,0.0,0.027,0.0,0,0,0,1,0,2,3,0,104.7,0.536,-0.748,0
